source,edge_type,target,provenance,evidence,score,count
target:O60674,associated_with,disease:EFO_0002430,OpenTargets,,0.7416698594699369,
target:O60674,associated_with,disease:EFO_0004251,OpenTargets,,0.7133229537368206,
target:O60674,associated_with,disease:EFO_0000616,OpenTargets,,0.6864407143173477,
target:O60674,associated_with,disease:EFO_0000479,OpenTargets,,0.671856759657534,
target:O60674,associated_with,disease:EFO_0000222,OpenTargets,,0.6649359044750314,
target:O60674,associated_with,disease:MONDO_0004992,OpenTargets,,0.6542385382944516,
target:O60674,associated_with,disease:HP_0001744,OpenTargets,,0.6530254086799303,
target:O60674,associated_with,disease:EFO_0005803,OpenTargets,,0.6145488514431673,
target:O60674,associated_with,disease:EFO_0000685,OpenTargets,,0.5994646484025083,
target:O60674,associated_with,disease:EFO_0000729,OpenTargets,,0.5921085900684683,
target:O60674,associated_with,disease:HP_0011974,OpenTargets,,0.5799832949268298,
target:O60674,associated_with,disease:MONDO_0002243,OpenTargets,,0.5667273899609169,
target:O60674,associated_with,disease:EFO_0000384,OpenTargets,,0.5613281592463044,
target:O60674,associated_with,disease:MONDO_0044903,OpenTargets,,0.5401092021880265,
target:O60674,associated_with,disease:HP_0002240,OpenTargets,,0.5355589887260958,
target:O60674,associated_with,disease:EFO_0003778,OpenTargets,,0.5170645228146512,
target:O60674,associated_with,disease:EFO_1000966,OpenTargets,,0.5132340279341644,
target:O60674,associated_with,disease:HP_0000964,OpenTargets,,0.5113029775988291,
target:O60674,associated_with,disease:EFO_0005804,OpenTargets,,0.510938238992054,
target:O60674,associated_with,disease:MONDO_0013730,OpenTargets,,0.4887340567182227,
target:O60674,associated_with,disease:HP_0001873,OpenTargets,,0.4836337898547049,
target:O60674,associated_with,disease:EFO_0003767,OpenTargets,,0.4826968426861263,
target:O60674,associated_with,disease:EFO_0000676,OpenTargets,,0.4776550647152731,
target:O60674,associated_with,disease:EFO_0003898,OpenTargets,,0.4715836005349476,
drug:CHEMBL4582651,reported_with,ae:Product Prescribing Issue,FAERS,,,131.0
drug:CHEMBL4582651,reported_with,ae:Death,FAERS,,,81.0
drug:CHEMBL4582651,reported_with,ae:Fatigue,FAERS,,,67.0
drug:CHEMBL4582651,reported_with,ae:Off Label Use,FAERS,,,65.0
drug:CHEMBL4582651,reported_with,ae:Diarrhoea,FAERS,,,52.0
drug:CHEMBL4582651,reported_with,ae:Anaemia,FAERS,,,49.0
drug:CHEMBL4582651,reported_with,ae:Asthenia,FAERS,,,47.0
drug:CHEMBL4582651,reported_with,ae:Constipation,FAERS,,,43.0
drug:CHEMBL4582651,reported_with,ae:Blood Pressure Increased,FAERS,,,43.0
drug:CHEMBL4582651,reported_with,ae:Hypertension,FAERS,,,42.0
drug:CHEMBL4582651,reported_with,ae:Disease Progression,FAERS,,,39.0
drug:CHEMBL4582651,reported_with,ae:White Blood Cell Count Decreased,FAERS,,,35.0
drug:CHEMBL4582651,reported_with,ae:Pneumonia,FAERS,,,33.0
drug:CHEMBL4582651,reported_with,ae:No Adverse Event,FAERS,,,33.0
drug:CHEMBL4582651,reported_with,ae:Pyrexia,FAERS,,,31.0
drug:CHEMBL4582651,reported_with,ae:Hospitalisation,FAERS,,,30.0
drug:CHEMBL4582651,reported_with,ae:Cough,FAERS,,,28.0
drug:CHEMBL4582651,reported_with,ae:Nausea,FAERS,,,26.0
drug:CHEMBL4582651,reported_with,ae:Dizziness,FAERS,,,26.0
drug:CHEMBL4582651,reported_with,ae:Dyspnoea,FAERS,,,25.0
drug:CHEMBL4582651,reported_with,ae:Dry Mouth,FAERS,,,24.0
drug:CHEMBL4582651,reported_with,ae:Pneumonitis,FAERS,,,24.0
drug:CHEMBL4582651,reported_with,ae:Platelet Count Decreased,FAERS,,,23.0
drug:CHEMBL4582651,reported_with,ae:Arthralgia,FAERS,,,21.0
drug:CHEMBL4582651,reported_with,ae:Pain,FAERS,,,21.0
drug:CHEMBL4582651,reported_with,ae:Hepatic Function Abnormal,FAERS,,,20.0
drug:CHEMBL4582651,reported_with,ae:Product Dose Omission Issue,FAERS,,,18.0
drug:CHEMBL4582651,reported_with,ae:Decreased Appetite,FAERS,,,18.0
drug:CHEMBL4582651,reported_with,ae:Rash,FAERS,,,18.0
drug:CHEMBL4582651,reported_with,ae:Interstitial Lung Disease,FAERS,,,18.0
drug:CHEMBL4582651,reported_with,ae:Headache,FAERS,,,18.0
drug:CHEMBL4582651,reported_with,ae:Neutropenia,FAERS,,,17.0
drug:CHEMBL4582651,reported_with,ae:Stomatitis,FAERS,,,16.0
drug:CHEMBL4582651,reported_with,ae:Haemoglobin Decreased,FAERS,,,16.0
drug:CHEMBL4582651,reported_with,ae:Vomiting,FAERS,,,15.0
drug:CHEMBL4582651,reported_with,ae:Taste Disorder,FAERS,,,15.0
drug:CHEMBL4582651,reported_with,ae:Oedema,FAERS,,,15.0
drug:CHEMBL4582651,reported_with,ae:Renal Impairment,FAERS,,,15.0
drug:CHEMBL4582651,reported_with,ae:Back Pain,FAERS,,,15.0
drug:CHEMBL4582651,reported_with,ae:Urinary Tract Infection,FAERS,,,14.0
drug:CHEMBL4582651,reported_with,ae:Fall,FAERS,,,13.0
drug:CHEMBL4582651,reported_with,ae:Covid-19,FAERS,,,13.0
drug:CHEMBL4582651,reported_with,ae:Drug Ineffective,FAERS,,,12.0
drug:CHEMBL4582651,reported_with,ae:Dysphagia,FAERS,,,12.0
drug:CHEMBL4582651,reported_with,ae:Red Blood Cell Count Decreased,FAERS,,,12.0
drug:CHEMBL4582651,reported_with,ae:Hepatic Enzyme Increased,FAERS,,,12.0
drug:CHEMBL4582651,reported_with,ae:Malaise,FAERS,,,11.0
drug:CHEMBL4582651,reported_with,ae:Oedema Peripheral,FAERS,,,11.0
drug:CHEMBL4582651,reported_with,ae:Hypotension,FAERS,,,11.0
drug:CHEMBL4582651,reported_with,ae:Pleural Effusion,FAERS,,,11.0
drug:CHEMBL4582651,reported_with,ae:Ageusia,FAERS,,,11.0
drug:CHEMBL4582651,reported_with,ae:Chills,FAERS,,,10.0
drug:CHEMBL4582651,reported_with,ae:Pain In Extremity,FAERS,,,10.0
drug:CHEMBL4582651,reported_with,ae:Aspartate Aminotransferase Increased,FAERS,,,10.0
drug:CHEMBL4582651,reported_with,ae:Epistaxis,FAERS,,,10.0
drug:CHEMBL4582651,reported_with,ae:Myalgia,FAERS,,,10.0
drug:CHEMBL4582651,reported_with,ae:Face Oedema,FAERS,,,10.0
drug:CHEMBL4582651,reported_with,ae:Muscular Weakness,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Peripheral Swelling,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Neuropathy Peripheral,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:General Physical Health Deterioration,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Neutrophil Count Decreased,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Weight Increased,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Abdominal Pain Upper,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Mouth Ulceration,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Balance Disorder,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Chest Discomfort,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Adverse Event,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Oropharyngeal Pain,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Gait Disturbance,FAERS,,,9.0
drug:CHEMBL4582651,reported_with,ae:Herpes Zoster,FAERS,,,8.0
drug:CHEMBL4582651,reported_with,ae:Blood Creatinine Increased,FAERS,,,8.0
drug:CHEMBL4582651,reported_with,ae:Swelling Face,FAERS,,,8.0
drug:CHEMBL4582651,reported_with,ae:Insomnia,FAERS,,,8.0
drug:CHEMBL4582651,reported_with,ae:Malignant Neoplasm Progression,FAERS,,,8.0
drug:CHEMBL4582651,reported_with,ae:Dehydration,FAERS,,,8.0
drug:CHEMBL4582651,reported_with,ae:Gastrointestinal Disorder,FAERS,,,8.0
drug:CHEMBL4582651,reported_with,ae:Chest Pain,FAERS,,,8.0
drug:CHEMBL4582651,reported_with,ae:Ascites,FAERS,,,8.0
drug:CHEMBL4582651,reported_with,ae:Adverse Drug Reaction,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Abdominal Discomfort,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Myocardial Necrosis Marker Increased,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Alanine Aminotransferase Increased,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Neoplasm Malignant,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Condition Aggravated,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Liver Injury,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Lung Disorder,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Heart Rate Increased,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Dysphonia,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Paraesthesia,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Drug Intolerance,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Abdominal Pain,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Pulmonary Embolism,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Hypoaesthesia,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Transaminases Increased,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Blood Creatine Phosphokinase Increased,FAERS,,,7.0
drug:CHEMBL4582651,reported_with,ae:Platelet Count Increased,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Depression,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Nasopharyngitis,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Infection,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Syncope,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Blood Pressure Abnormal,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Thrombosis,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Thrombocytopenia,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Vision Blurred,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Loss Of Consciousness,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Blood Test Abnormal,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Surgery,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Bone Pain,FAERS,,,6.0
drug:CHEMBL4582651,reported_with,ae:Dyspepsia,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Swelling Of Eyelid,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Carcinoembryonic Antigen Increased,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Alopecia,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Pulmonary Oedema,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Sepsis,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Pruritus,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Ill-Defined Disorder,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Blood Sodium Decreased,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Haemorrhage,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Metastases To Central Nervous System,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Lymphopenia,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Hypoxia,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Drug Resistance,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Renal Function Test Abnormal,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Metastases To Bone,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Weight Decreased,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Illness,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Myelosuppression,FAERS,,,5.0
drug:CHEMBL4582651,reported_with,ae:Hyperhidrosis,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Immunodeficiency,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Pancytopenia,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Toxicity To Various Agents,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Anxiety,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Hyponatraemia,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Metastatic Neoplasm,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Neoplasm Progression,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Confusional State,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Liver Function Test Increased,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Eczema,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Discomfort,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Febrile Neutropenia,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Blood Glucose Increased,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Hypogeusia,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Generalised Oedema,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Hypothyroidism,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Leukopenia,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Dysgeusia,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Poor Quality Sleep,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Cellulitis,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Limb Discomfort,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Unevaluable Event,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Pneumothorax,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Hypoalbuminaemia,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Full Blood Count Abnormal,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Brain Neoplasm,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Hyperpyrexia,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Haemoptysis,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Flatulence,FAERS,,,4.0
drug:CHEMBL4582651,reported_with,ae:Musculoskeletal Chest Pain,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Brain Fog,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Initial Insomnia,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Memory Impairment,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Enterocolitis,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Metastases To Lymph Nodes,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Eye Swelling,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Pneumonia Fungal,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Blood Calcium Decreased,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Blood Glucose Decreased,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Oral Pain,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Hypoaesthesia Oral,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Respiratory Failure,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Palmar-Plantar Erythrodysaesthesia Syndrome,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Periorbital Swelling,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Pulmonary Tuberculosis,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Back Disorder,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Electrocardiogram Qt Prolonged,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Labile Blood Pressure,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Blood Potassium Decreased,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Rash Macular,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Intentional Product Misuse,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Body Temperature Increased,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Laboratory Test Abnormal,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Hyperkalaemia,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Sinusitis,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Rib Fracture,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Tumour Lysis Syndrome,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Fungal Foot Infection,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Loss Of Personal Independence In Daily Activities,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Renal Disorder,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Dysuria,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Liver Disorder,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Emergency Care,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Gastritis,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Swelling,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Nocturia,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Dry Throat,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Hepatitis B Reactivation,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Cardiac Disorder,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Abdominal Distension,FAERS,,,3.0
drug:CHEMBL4582651,reported_with,ae:Blood Alkaline Phosphatase Increased,FAERS,,,3.0
