node_id,node_type,label,chembl_id,uniprot_id,chembl_target_id,ontology_id,faers_count
ae:No Adverse Event,AdverseEvent,No Adverse Event,,,,,33.0
ae:Pyrexia,AdverseEvent,Pyrexia,,,,,31.0
ae:Hospitalisation,AdverseEvent,Hospitalisation,,,,,30.0
ae:Cough,AdverseEvent,Cough,,,,,28.0
ae:Nausea,AdverseEvent,Nausea,,,,,26.0
ae:Dizziness,AdverseEvent,Dizziness,,,,,26.0
ae:Dyspnoea,AdverseEvent,Dyspnoea,,,,,25.0
ae:Dry Mouth,AdverseEvent,Dry Mouth,,,,,24.0
ae:Pneumonitis,AdverseEvent,Pneumonitis,,,,,24.0
ae:Platelet Count Decreased,AdverseEvent,Platelet Count Decreased,,,,,23.0
ae:Arthralgia,AdverseEvent,Arthralgia,,,,,21.0
ae:Pain,AdverseEvent,Pain,,,,,21.0
ae:Hepatic Function Abnormal,AdverseEvent,Hepatic Function Abnormal,,,,,20.0
ae:Product Dose Omission Issue,AdverseEvent,Product Dose Omission Issue,,,,,18.0
ae:Decreased Appetite,AdverseEvent,Decreased Appetite,,,,,18.0
ae:Rash,AdverseEvent,Rash,,,,,18.0
ae:Interstitial Lung Disease,AdverseEvent,Interstitial Lung Disease,,,,,18.0
ae:Headache,AdverseEvent,Headache,,,,,18.0
ae:Neutropenia,AdverseEvent,Neutropenia,,,,,17.0
ae:Stomatitis,AdverseEvent,Stomatitis,,,,,16.0
ae:Haemoglobin Decreased,AdverseEvent,Haemoglobin Decreased,,,,,16.0
ae:Vomiting,AdverseEvent,Vomiting,,,,,15.0
ae:Taste Disorder,AdverseEvent,Taste Disorder,,,,,15.0
ae:Oedema,AdverseEvent,Oedema,,,,,15.0
ae:Renal Impairment,AdverseEvent,Renal Impairment,,,,,15.0
ae:Back Pain,AdverseEvent,Back Pain,,,,,15.0
ae:Urinary Tract Infection,AdverseEvent,Urinary Tract Infection,,,,,14.0
ae:Fall,AdverseEvent,Fall,,,,,13.0
ae:Covid-19,AdverseEvent,Covid-19,,,,,13.0
ae:Drug Ineffective,AdverseEvent,Drug Ineffective,,,,,12.0
ae:Dysphagia,AdverseEvent,Dysphagia,,,,,12.0
ae:Red Blood Cell Count Decreased,AdverseEvent,Red Blood Cell Count Decreased,,,,,12.0
ae:Hepatic Enzyme Increased,AdverseEvent,Hepatic Enzyme Increased,,,,,12.0
ae:Malaise,AdverseEvent,Malaise,,,,,11.0
ae:Oedema Peripheral,AdverseEvent,Oedema Peripheral,,,,,11.0
ae:Hypotension,AdverseEvent,Hypotension,,,,,11.0
ae:Pleural Effusion,AdverseEvent,Pleural Effusion,,,,,11.0
ae:Ageusia,AdverseEvent,Ageusia,,,,,11.0
ae:Chills,AdverseEvent,Chills,,,,,10.0
ae:Pain In Extremity,AdverseEvent,Pain In Extremity,,,,,10.0
ae:Aspartate Aminotransferase Increased,AdverseEvent,Aspartate Aminotransferase Increased,,,,,10.0
ae:Epistaxis,AdverseEvent,Epistaxis,,,,,10.0
ae:Myalgia,AdverseEvent,Myalgia,,,,,10.0
ae:Face Oedema,AdverseEvent,Face Oedema,,,,,10.0
ae:Muscular Weakness,AdverseEvent,Muscular Weakness,,,,,9.0
ae:Peripheral Swelling,AdverseEvent,Peripheral Swelling,,,,,9.0
ae:Neuropathy Peripheral,AdverseEvent,Neuropathy Peripheral,,,,,9.0
ae:General Physical Health Deterioration,AdverseEvent,General Physical Health Deterioration,,,,,9.0
ae:Neutrophil Count Decreased,AdverseEvent,Neutrophil Count Decreased,,,,,9.0
ae:Weight Increased,AdverseEvent,Weight Increased,,,,,9.0
ae:Abdominal Pain Upper,AdverseEvent,Abdominal Pain Upper,,,,,9.0
ae:Mouth Ulceration,AdverseEvent,Mouth Ulceration,,,,,9.0
ae:Balance Disorder,AdverseEvent,Balance Disorder,,,,,9.0
ae:Chest Discomfort,AdverseEvent,Chest Discomfort,,,,,9.0
ae:Adverse Event,AdverseEvent,Adverse Event,,,,,9.0
ae:Oropharyngeal Pain,AdverseEvent,Oropharyngeal Pain,,,,,9.0
ae:Gait Disturbance,AdverseEvent,Gait Disturbance,,,,,9.0
ae:Herpes Zoster,AdverseEvent,Herpes Zoster,,,,,8.0
ae:Blood Creatinine Increased,AdverseEvent,Blood Creatinine Increased,,,,,8.0
ae:Swelling Face,AdverseEvent,Swelling Face,,,,,8.0
ae:Insomnia,AdverseEvent,Insomnia,,,,,8.0
ae:Malignant Neoplasm Progression,AdverseEvent,Malignant Neoplasm Progression,,,,,8.0
ae:Dehydration,AdverseEvent,Dehydration,,,,,8.0
ae:Gastrointestinal Disorder,AdverseEvent,Gastrointestinal Disorder,,,,,8.0
ae:Chest Pain,AdverseEvent,Chest Pain,,,,,8.0
ae:Ascites,AdverseEvent,Ascites,,,,,8.0
ae:Adverse Drug Reaction,AdverseEvent,Adverse Drug Reaction,,,,,7.0
ae:Abdominal Discomfort,AdverseEvent,Abdominal Discomfort,,,,,7.0
ae:Myocardial Necrosis Marker Increased,AdverseEvent,Myocardial Necrosis Marker Increased,,,,,7.0
ae:Alanine Aminotransferase Increased,AdverseEvent,Alanine Aminotransferase Increased,,,,,7.0
ae:Neoplasm Malignant,AdverseEvent,Neoplasm Malignant,,,,,7.0
ae:Condition Aggravated,AdverseEvent,Condition Aggravated,,,,,7.0
ae:Liver Injury,AdverseEvent,Liver Injury,,,,,7.0
ae:Lung Disorder,AdverseEvent,Lung Disorder,,,,,7.0
ae:Heart Rate Increased,AdverseEvent,Heart Rate Increased,,,,,7.0
ae:Dysphonia,AdverseEvent,Dysphonia,,,,,7.0
ae:Paraesthesia,AdverseEvent,Paraesthesia,,,,,7.0
ae:Drug Intolerance,AdverseEvent,Drug Intolerance,,,,,7.0
ae:Abdominal Pain,AdverseEvent,Abdominal Pain,,,,,7.0
ae:Pulmonary Embolism,AdverseEvent,Pulmonary Embolism,,,,,7.0
ae:Hypoaesthesia,AdverseEvent,Hypoaesthesia,,,,,7.0
ae:Transaminases Increased,AdverseEvent,Transaminases Increased,,,,,7.0
ae:Blood Creatine Phosphokinase Increased,AdverseEvent,Blood Creatine Phosphokinase Increased,,,,,7.0
ae:Platelet Count Increased,AdverseEvent,Platelet Count Increased,,,,,6.0
ae:Depression,AdverseEvent,Depression,,,,,6.0
ae:Nasopharyngitis,AdverseEvent,Nasopharyngitis,,,,,6.0
ae:Infection,AdverseEvent,Infection,,,,,6.0
ae:Syncope,AdverseEvent,Syncope,,,,,6.0
ae:Blood Pressure Abnormal,AdverseEvent,Blood Pressure Abnormal,,,,,6.0
ae:Thrombosis,AdverseEvent,Thrombosis,,,,,6.0
ae:Thrombocytopenia,AdverseEvent,Thrombocytopenia,,,,,6.0
ae:Vision Blurred,AdverseEvent,Vision Blurred,,,,,6.0
ae:Loss Of Consciousness,AdverseEvent,Loss Of Consciousness,,,,,6.0
ae:Blood Test Abnormal,AdverseEvent,Blood Test Abnormal,,,,,6.0
ae:Surgery,AdverseEvent,Surgery,,,,,6.0
ae:Bone Pain,AdverseEvent,Bone Pain,,,,,6.0
ae:Dyspepsia,AdverseEvent,Dyspepsia,,,,,5.0
ae:Swelling Of Eyelid,AdverseEvent,Swelling Of Eyelid,,,,,5.0
ae:Carcinoembryonic Antigen Increased,AdverseEvent,Carcinoembryonic Antigen Increased,,,,,5.0
ae:Alopecia,AdverseEvent,Alopecia,,,,,5.0
ae:Pulmonary Oedema,AdverseEvent,Pulmonary Oedema,,,,,5.0
ae:Sepsis,AdverseEvent,Sepsis,,,,,5.0
ae:Pruritus,AdverseEvent,Pruritus,,,,,5.0
ae:Ill-Defined Disorder,AdverseEvent,Ill-Defined Disorder,,,,,5.0
ae:Blood Sodium Decreased,AdverseEvent,Blood Sodium Decreased,,,,,5.0
ae:Haemorrhage,AdverseEvent,Haemorrhage,,,,,5.0
ae:Metastases To Central Nervous System,AdverseEvent,Metastases To Central Nervous System,,,,,5.0
ae:Lymphopenia,AdverseEvent,Lymphopenia,,,,,5.0
ae:Hypoxia,AdverseEvent,Hypoxia,,,,,5.0
ae:Drug Resistance,AdverseEvent,Drug Resistance,,,,,5.0
ae:Renal Function Test Abnormal,AdverseEvent,Renal Function Test Abnormal,,,,,5.0
ae:Metastases To Bone,AdverseEvent,Metastases To Bone,,,,,5.0
ae:Weight Decreased,AdverseEvent,Weight Decreased,,,,,5.0
ae:Illness,AdverseEvent,Illness,,,,,5.0
ae:Myelosuppression,AdverseEvent,Myelosuppression,,,,,5.0
ae:Hyperhidrosis,AdverseEvent,Hyperhidrosis,,,,,4.0
ae:Immunodeficiency,AdverseEvent,Immunodeficiency,,,,,4.0
ae:Pancytopenia,AdverseEvent,Pancytopenia,,,,,4.0
ae:Toxicity To Various Agents,AdverseEvent,Toxicity To Various Agents,,,,,4.0
ae:Anxiety,AdverseEvent,Anxiety,,,,,4.0
ae:Hyponatraemia,AdverseEvent,Hyponatraemia,,,,,4.0
ae:Metastatic Neoplasm,AdverseEvent,Metastatic Neoplasm,,,,,4.0
ae:Neoplasm Progression,AdverseEvent,Neoplasm Progression,,,,,4.0
ae:Confusional State,AdverseEvent,Confusional State,,,,,4.0
ae:Liver Function Test Increased,AdverseEvent,Liver Function Test Increased,,,,,4.0
ae:Eczema,AdverseEvent,Eczema,,,,,4.0
ae:Discomfort,AdverseEvent,Discomfort,,,,,4.0
ae:Febrile Neutropenia,AdverseEvent,Febrile Neutropenia,,,,,4.0
ae:Blood Glucose Increased,AdverseEvent,Blood Glucose Increased,,,,,4.0
ae:Hypogeusia,AdverseEvent,Hypogeusia,,,,,4.0
ae:Generalised Oedema,AdverseEvent,Generalised Oedema,,,,,4.0
ae:Hypothyroidism,AdverseEvent,Hypothyroidism,,,,,4.0
ae:Leukopenia,AdverseEvent,Leukopenia,,,,,4.0
ae:Dysgeusia,AdverseEvent,Dysgeusia,,,,,4.0
ae:Poor Quality Sleep,AdverseEvent,Poor Quality Sleep,,,,,4.0
ae:Cellulitis,AdverseEvent,Cellulitis,,,,,4.0
ae:Limb Discomfort,AdverseEvent,Limb Discomfort,,,,,4.0
ae:Unevaluable Event,AdverseEvent,Unevaluable Event,,,,,4.0
ae:Pneumothorax,AdverseEvent,Pneumothorax,,,,,4.0
ae:Hypoalbuminaemia,AdverseEvent,Hypoalbuminaemia,,,,,4.0
ae:Full Blood Count Abnormal,AdverseEvent,Full Blood Count Abnormal,,,,,4.0
ae:Brain Neoplasm,AdverseEvent,Brain Neoplasm,,,,,4.0
ae:Hyperpyrexia,AdverseEvent,Hyperpyrexia,,,,,4.0
ae:Haemoptysis,AdverseEvent,Haemoptysis,,,,,4.0
ae:Flatulence,AdverseEvent,Flatulence,,,,,4.0
ae:Musculoskeletal Chest Pain,AdverseEvent,Musculoskeletal Chest Pain,,,,,3.0
ae:Brain Fog,AdverseEvent,Brain Fog,,,,,3.0
ae:Initial Insomnia,AdverseEvent,Initial Insomnia,,,,,3.0
ae:Memory Impairment,AdverseEvent,Memory Impairment,,,,,3.0
ae:Enterocolitis,AdverseEvent,Enterocolitis,,,,,3.0
ae:Metastases To Lymph Nodes,AdverseEvent,Metastases To Lymph Nodes,,,,,3.0
ae:Eye Swelling,AdverseEvent,Eye Swelling,,,,,3.0
ae:Pneumonia Fungal,AdverseEvent,Pneumonia Fungal,,,,,3.0
ae:Blood Calcium Decreased,AdverseEvent,Blood Calcium Decreased,,,,,3.0
ae:Blood Glucose Decreased,AdverseEvent,Blood Glucose Decreased,,,,,3.0
ae:Oral Pain,AdverseEvent,Oral Pain,,,,,3.0
ae:Hypoaesthesia Oral,AdverseEvent,Hypoaesthesia Oral,,,,,3.0
ae:Respiratory Failure,AdverseEvent,Respiratory Failure,,,,,3.0
ae:Palmar-Plantar Erythrodysaesthesia Syndrome,AdverseEvent,Palmar-Plantar Erythrodysaesthesia Syndrome,,,,,3.0
ae:Periorbital Swelling,AdverseEvent,Periorbital Swelling,,,,,3.0
ae:Pulmonary Tuberculosis,AdverseEvent,Pulmonary Tuberculosis,,,,,3.0
ae:Back Disorder,AdverseEvent,Back Disorder,,,,,3.0
ae:Electrocardiogram Qt Prolonged,AdverseEvent,Electrocardiogram Qt Prolonged,,,,,3.0
ae:Labile Blood Pressure,AdverseEvent,Labile Blood Pressure,,,,,3.0
ae:Blood Potassium Decreased,AdverseEvent,Blood Potassium Decreased,,,,,3.0
ae:Rash Macular,AdverseEvent,Rash Macular,,,,,3.0
ae:Intentional Product Misuse,AdverseEvent,Intentional Product Misuse,,,,,3.0
ae:Body Temperature Increased,AdverseEvent,Body Temperature Increased,,,,,3.0
ae:Laboratory Test Abnormal,AdverseEvent,Laboratory Test Abnormal,,,,,3.0
ae:Hyperkalaemia,AdverseEvent,Hyperkalaemia,,,,,3.0
ae:Sinusitis,AdverseEvent,Sinusitis,,,,,3.0
ae:Rib Fracture,AdverseEvent,Rib Fracture,,,,,3.0
ae:Tumour Lysis Syndrome,AdverseEvent,Tumour Lysis Syndrome,,,,,3.0
ae:Fungal Foot Infection,AdverseEvent,Fungal Foot Infection,,,,,3.0
ae:Loss Of Personal Independence In Daily Activities,AdverseEvent,Loss Of Personal Independence In Daily Activities,,,,,3.0
ae:Renal Disorder,AdverseEvent,Renal Disorder,,,,,3.0
ae:Dysuria,AdverseEvent,Dysuria,,,,,3.0
ae:Liver Disorder,AdverseEvent,Liver Disorder,,,,,3.0
ae:Emergency Care,AdverseEvent,Emergency Care,,,,,3.0
ae:Gastritis,AdverseEvent,Gastritis,,,,,3.0
ae:Swelling,AdverseEvent,Swelling,,,,,3.0
ae:Nocturia,AdverseEvent,Nocturia,,,,,3.0
ae:Dry Throat,AdverseEvent,Dry Throat,,,,,3.0
ae:Hepatitis B Reactivation,AdverseEvent,Hepatitis B Reactivation,,,,,3.0
ae:Cardiac Disorder,AdverseEvent,Cardiac Disorder,,,,,3.0
ae:Abdominal Distension,AdverseEvent,Abdominal Distension,,,,,3.0
ae:Blood Alkaline Phosphatase Increased,AdverseEvent,Blood Alkaline Phosphatase Increased,,,,,3.0
