go_id,go_name,toxicity_theme,mapped
GO:0036120,cellular response to platelet-derived growth factor stimulus,,0
GO:0036324,vascular endothelial growth factor receptor-2 signaling pathway,,0
GO:0036378,calcitriol biosynthetic process from calciol,,0
GO:0038063,collagen-activated tyrosine kinase receptor signaling pathway,,0
GO:0038083,peptidyl-tyrosine autophosphorylation,,0
GO:0038084,vascular endothelial growth factor signaling pathway,,0
GO:0038091,positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway,,0
GO:0038179,neurotrophin signaling pathway,,0
GO:0038180,nerve growth factor signaling pathway,,0
GO:0042127,regulation of cell population proliferation,,0
GO:0042167,heme catabolic process,,0
GO:0042178,xenobiotic catabolic process,,0
GO:0042359,vitamin D metabolic process,,0
GO:0042369,vitamin D catabolic process,,0
GO:0042445,hormone metabolic process,,0
GO:0042472,inner ear morphogenesis,,0
GO:0042473,outer ear morphogenesis,,0
GO:0042490,mechanoreceptor differentiation,,0
GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,,0
GO:0042572,retinol metabolic process,,0
GO:0042573,retinoic acid metabolic process,,0
GO:0042632,cholesterol homeostasis,,0
GO:0042759,long-chain fatty acid biosynthetic process,,0
GO:0042908,xenobiotic transport,,0
GO:0043129,surfactant homeostasis,,0
GO:0043252,sodium-independent organic anion transport,,0
GO:0043406,positive regulation of MAP kinase activity,,0
GO:0043408,regulation of MAPK cascade,,0
GO:0043410,positive regulation of MAPK cascade,,0
GO:0043547,positive regulation of GTPase activity,,0
GO:0043583,ear development,,0
GO:0044319,"wound healing, spreading of cells",,0
GO:0045332,phospholipid translocation,,0
GO:0045333,cellular respiration,,0
GO:0045471,response to ethanol,,0
GO:0045766,positive regulation of angiogenesis,,0
GO:0045793,positive regulation of cell size,,0
GO:0045840,positive regulation of mitotic nuclear division,,0
GO:0045893,positive regulation of DNA-templated transcription,,0
GO:0046222,aflatoxin metabolic process,,0
GO:0046415,urate metabolic process,,0
GO:0046456,icosanoid biosynthetic process,,0
GO:0046579,positive regulation of Ras protein signal transduction,,0
GO:0046618,xenobiotic export from cell,,0
GO:0046677,response to antibiotic,,0
GO:0046777,protein autophosphorylation,,0
GO:0046865,terpenoid transport,,0
GO:0048008,platelet-derived growth factor receptor signaling pathway,,0
GO:0048011,neurotrophin TRK receptor signaling pathway,,0
GO:0048013,ephrin receptor signaling pathway,,0
GO:0048265,response to pain,,0
GO:0048484,enteric nervous system development,,0
GO:0048485,sympathetic nervous system development,,0
GO:0048513,animal organ development,,0
GO:0048661,positive regulation of smooth muscle cell proliferation,,0
GO:0048712,negative regulation of astrocyte differentiation,,0
GO:0048731,system development,,0
GO:0050770,regulation of axonogenesis,,0
GO:0050850,positive regulation of calcium-mediated signaling,,0
GO:0050921,positive regulation of chemotaxis,,0
GO:0050927,positive regulation of positive chemotaxis,,0
GO:0050965,detection of temperature stimulus involved in sensory perception of pain,,0
GO:0050966,detection of mechanical stimulus involved in sensory perception of pain,,0
GO:0051092,obsolete positive regulation of NF-kappaB transcription factor activity,,0
GO:0051239,regulation of multicellular organismal process,,0
GO:0051412,response to corticosterone,,0
GO:0051599,response to hydrostatic pressure,,0
GO:0051602,response to electrical stimulus,,0
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,,0
GO:0055003,cardiac myofibril assembly,,0
GO:0055085,transmembrane transport,,0
GO:0055088,lipid homeostasis,,0
GO:0055091,phospholipid homeostasis,,0
GO:0060326,cell chemotaxis,,0
GO:0060397,growth hormone receptor signaling pathway via JAK-STAT,,0
GO:0060444,branching involved in mammary gland duct morphogenesis,,0
GO:0060749,mammary gland alveolus development,,0
GO:0060981,cell migration involved in coronary angiogenesis,,0
GO:0061146,Peyer's patch morphogenesis,,0
GO:0061298,retina vasculature development in camera-type eye,,0
GO:0070306,lens fiber cell differentiation,,0
GO:0070327,thyroid hormone transport,,0
GO:0070374,positive regulation of ERK1 and ERK2 cascade,,0
GO:0070633,transepithelial transport,,0
GO:0071276,cellular response to cadmium ion,,0
GO:0071300,cellular response to retinoic acid,,0
GO:0071385,cellular response to glucocorticoid stimulus,,0
GO:0071670,smooth muscle cell chemotaxis,,0
GO:0071934,thiamine transmembrane transport,,0
GO:0072089,stem cell proliferation,,0
GO:0072237,metanephric proximal tubule development,,0
GO:0072262,metanephric glomerular mesangial cell proliferation involved in metanephros development,,0
GO:0072300,positive regulation of metanephric glomerulus development,,0
GO:0072540,T-helper 17 cell lineage commitment,,0
GO:0089718,amino acid import across plasma membrane,,0
GO:0090102,cochlea development,,0
GO:0090346,organofluorine metabolic process,,0
GO:0090350,negative regulation of organofluorine metabolic process,,0
GO:0097028,dendritic cell differentiation,,0
GO:0097107,postsynaptic density assembly,,0
GO:0097254,renal tubular secretion,,0
GO:0097267,omega-hydroxylase P450 pathway,,0
GO:0097421,liver regeneration,,0
GO:0097638,L-arginine import across plasma membrane,,0
GO:0097744,renal urate salt excretion,,0
GO:0098655,monoatomic cation transmembrane transport,,0
GO:0099040,ceramide translocation,,0
GO:0120189,positive regulation of bile acid secretion,,0
GO:0120254,olefinic compound metabolic process,,0
GO:0140115,export across plasma membrane,,0
GO:0150105,protein localization to cell-cell junction,,0
GO:0160144,GDF15-GFRAL signaling pathway,,0
GO:1900182,positive regulation of protein localization to nucleus,,0
GO:1902475,L-alpha-amino acid transmembrane transport,,0
GO:1902600,proton transmembrane transport,,0
GO:1903672,positive regulation of sprouting angiogenesis,,0
GO:1903826,L-arginine transmembrane transport,,0
GO:1905039,carboxylic acid transmembrane transport,,0
GO:1905606,regulation of presynapse assembly,,0
GO:1990090,cellular response to nerve growth factor stimulus,,0
GO:1990748,cellular detoxification,,0
GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,,0
GO:2000177,regulation of neural precursor cell proliferation,,0
GO:2001225,regulation of chloride transport,,0
GO:0001764,neuron migration,Neurological,1
GO:0001776,leukocyte homeostasis,Immune System,1
GO:0001819,positive regulation of cytokine production,Immune System,1
GO:0001952,regulation of cell-matrix adhesion,Cell Adhesion,1
GO:0002250,adaptive immune response,Immune System,1
GO:0002328,pro-B cell differentiation,Immune System,1
GO:0002376,immune system process,Immune System,1
GO:0006915,apoptotic process,Cell Death,1
GO:0006979,response to oxidative stress,Oxidative Stress,1
GO:0007155,cell adhesion,Cell Adhesion,1
GO:0007156,homophilic cell-cell adhesion,Cell Adhesion,1
GO:0007158,neuron cell-cell adhesion,Cell Adhesion,1
GO:0007411,axon guidance,Neurological,1
GO:0007420,brain development,Neurological,1
GO:0008631,intrinsic apoptotic signaling pathway in response to oxidative stress,Cell Death,1
GO:0010572,positive regulation of platelet activation,Cell Adhesion,1
GO:0010623,programmed cell death involved in cell development,Cell Death,1
GO:0010667,negative regulation of cardiac muscle cell apoptotic process,Cell Death,1
GO:0010715,regulation of extracellular matrix disassembly,Cell Adhesion,1
GO:0010811,positive regulation of cell-substrate adhesion,Cell Adhesion,1
GO:0010976,positive regulation of neuron projection development,Neurological,1
GO:0019221,cytokine-mediated signaling pathway,Immune System,1
GO:0019227,neuronal action potential propagation,Neurological,1
GO:0021860,pyramidal neuron development,Neurological,1
GO:0022011,myelination in peripheral nervous system,Neurological,1
GO:0022407,regulation of cell-cell adhesion,Cell Adhesion,1
GO:0022408,negative regulation of cell-cell adhesion,Cell Adhesion,1
GO:0030155,regulation of cell adhesion,Cell Adhesion,1
GO:0030182,neuron differentiation,Neurological,1
GO:0030183,B cell differentiation,Immune System,1
GO:0031103,axon regeneration,Neurological,1
GO:0031175,neuron projection development,Neurological,1
GO:0033630,positive regulation of cell adhesion mediated by integrin,Cell Adhesion,1
GO:0034112,positive regulation of homotypic cell-cell adhesion,Cell Adhesion,1
GO:0035602,fibroblast growth factor receptor signaling pathway involved in negative regulation of apoptotic process in bone marrow cell,Cell Death,1
GO:0035723,interleukin-15-mediated signaling pathway,Immune System,1
GO:0035771,interleukin-4-mediated signaling pathway,Immune System,1
GO:0035860,glial cell-derived neurotrophic factor receptor signaling pathway,Neurological,1
GO:0038043,interleukin-5-mediated signaling pathway,Immune System,1
GO:0038110,interleukin-2-mediated signaling pathway,Immune System,1
GO:0038111,interleukin-7-mediated signaling pathway,Immune System,1
GO:0038113,interleukin-9-mediated signaling pathway,Immune System,1
GO:0038154,interleukin-11-mediated signaling pathway,Immune System,1
GO:0042551,neuron maturation,Neurological,1
GO:0042981,regulation of apoptotic process,Cell Death,1
GO:0043065,positive regulation of apoptotic process,Cell Death,1
GO:0043066,negative regulation of apoptotic process,Cell Death,1
GO:0043068,positive regulation of programmed cell death,Cell Death,1
GO:0043524,negative regulation of neuron apoptotic process,Cell Death,1
GO:0046651,lymphocyte proliferation,Immune System,1
GO:0048665,neuron fate specification,Neurological,1
GO:0048666,neuron development,Neurological,1
GO:0048678,response to axon injury,Neurological,1
GO:0048691,positive regulation of axon extension involved in regeneration,Neurological,1
GO:0050665,hydrogen peroxide biosynthetic process,Oxidative Stress,1
GO:0051965,positive regulation of synapse assembly,Neurological,1
GO:0060333,type II interferon-mediated signaling pathway,Immune System,1
GO:0060337,type I interferon-mediated signaling pathway,Immune System,1
GO:0061302,smooth muscle cell-matrix adhesion,Cell Adhesion,1
GO:0061564,axon development,Neurological,1
GO:0070102,interleukin-6-mediated signaling pathway,Immune System,1
GO:0070989,oxidative demethylation,Oxidative Stress,1
GO:0071345,cellular response to cytokine stimulus,Immune System,1
GO:0097021,lymphocyte migration into lymphoid organs,Immune System,1
GO:0098761,cellular response to interleukin-7,Immune System,1
GO:0140105,interleukin-10-mediated signaling pathway,Immune System,1
GO:0150104,transport across blood-brain barrier,Neurological,1
GO:1990138,neuron projection extension,Neurological,1
GO:1990962,xenobiotic transport across blood-brain barrier,Neurological,1
GO:2001241,positive regulation of extrinsic apoptotic signaling pathway in absence of ligand,Cell Death,1
